ticker,group,target_account
GOOGL,1군,삼성7081
AMZN,1군,삼성7081
NVDA,1군,삼성7081
005930,1군,키움5154
000660,1군,키움5154
MU,1군,삼성7081
AVGO,1군,삼성7081
MRVL,1군,삼성7081
SNDK,1군,삼성7081
EWT,1군,삼성7081
DRAM,1군,삼성7081
GEV,1군,삼성7081
ETN,1군,삼성7081
009150,1군,키움5154
017670,1군,키움5154
012330,1군,삼성7081
SCHD,2군,키움5154
XLF,2군,키움5154
JPM,2군,키움5154
GLD,2군,키움5154
TJX,2군,키움5154
COST,2군,키움5154
LLY,2군,키움5154
INTC,3군,키움5978
AMD,1군,삼성7081
PLTR,3군,키움5978
035420,3군,키움5154
RKLB,3군,키움5978
HOOD,3군,키움5978
IREN,3군,키움5978
DELL,3군,키움5978
BWXT,3군,키움5978
OKLO,3군,키움5978
LEU,3군,키움5978
005380,3군,키움5154
307950,3군,키움5154
011070,3군,키움5154
066570,3군,키움5154
TSLA,3군,키움5978
SPCX,3군,키움5978
360200,1군,삼성7081
379800,1군,삼성7081
379810,1군,삼성7081
469150,1군,삼성7081
0167A0,1군,삼성7081
102110,1군,삼성7081
298770,1군,삼성7081
0131V0,3군,키움5978
0162Z0,2군,키움5154
438080,2군,키움5154
411060,2군,키움5154
494670,2군,키움5154
466920,2군,키움5154
QQQ,1군,삼성7081
QQQM,1군,삼성7081
