bucket,account,ticker,market,shares,avg_cost,name,sector
일반,키움5154,MARA,US,1,18.99,,
일반,키움5154,PLTR,US,1,24.8032,,
일반,키움5154,TSLA,US,1,173.5588,,
일반,키움5154,VT,US,1,103.79,,
일반,키움5154,005930,KR,22,344794,삼성전자,
일반,키움5154,000660,KR,5,2627900,SK하이닉스,
일반,키움5154,005380,KR,1,614000,현대차,
일반,키움5154,009150,KR,1,2220000,삼성전기,
일반,키움5154,017670,KR,1,100900,SK텔레콤,
일반,키움5978,DRAM,US,21,75.45,,
일반,키움5978,GEV,US,1,989.73,,
일반,키움5978,HOOD,US,3,107.83,,
일반,키움5978,IREN,US,15,47.9293,,
일반,키움5978,MS,US,5,199.62,,
일반,키움5978,OKLO,US,12,60.53,,
일반,키움5978,RKLB,US,13,85.3692,,
일반,키움5978,SNDK,US,1,889.59,,
일반,삼성7081,BE,US,1,329.67,,
일반,삼성7081,CRCL,US,26,108.185,,
일반,삼성7081,INFQ,US,13,14.3146,,
일반,삼성7081,MS,US,1,192.43,,
일반,삼성7081,RIO,US,1,88.18,,
일반,삼성7081,TSM,US,1,200.48,,
일반,삼성7081,CIBR,US,1,83.93,,
일반,삼성7081,CRWD,US,1,469.37,,
일반,삼성7081,CRWV,US,1,116.772,,
일반,삼성7081,CSCO,US,5,77.662,,
일반,삼성7081,GOOGL,US,2,366.18,,
일반,삼성7081,IREN,US,45,55.6718,,
일반,삼성7081,LITE,US,1,902.75,,
일반,삼성7081,MRVL,US,13,256.5485,,
일반,삼성7081,MU,US,5,1221.1064,,
일반,삼성7081,NVDA,US,121,188.7256,,
일반,삼성7081,PANW,US,2,188.83,,
일반,삼성7081,QQQM,US,2,301.31,,
일반,삼성7081,RKLB,US,29,60.7136,,
일반,삼성7081,RXRX,US,11,6.6114,,
일반,삼성7081,SNDK,US,2,1772.8965,,
DC,미래에셋DC,0131V0,KR,16,12695,1Q 미국우주항공테크,미국주식(우주항공)
DC,미래에셋DC,0162Z0,KR,130,13120,RISE 삼성전자SK하이닉스채권혼합50,채권혼합
DC,미래에셋DC,102110,KR,32,84706,TIGER 200,국내주식
DC,미래에셋DC,360200,KR,1,28625,ACE 미국S&P500,미국주식
DC,미래에셋DC,379800,KR,55,22501,KODEX 미국S&P500,미국주식
DC,미래에셋DC,379810,KR,42,30295,KODEX 미국나스닥100,미국주식
DC,미래에셋DC,438080,KR,176,14279,ACE 미국S&P500미국채혼합50액티브,채권혼합
DC,미래에셋DC,469150,KR,63,44516,ACE AI반도체TOP3+,국내주식(반도체)
DC,미래에셋DC,494670,KR,8,27545,TIGER 조선TOP10,국내주식(조선)
IRP,미래에셋IRP,0162Z0,KR,10,13580,RISE 삼성전자SK하이닉스채권혼합50,채권혼합
IRP,미래에셋IRP,0167A0,KR,19,24861,SOL AI반도체TOP2플러스,국내주식(반도체)
IRP,미래에셋IRP,298770,KR,10,98575,KODEX 한국대만IT프리미어,해외주식(IT)
IRP,미래에셋IRP,411060,KR,8,29747,ACE KRX금현물,금/원자재
