ticker,theme
005930,①반도체(칩·메모리)
000660,①반도체(칩·메모리)
009150,①반도체(칩·메모리)
NVDA,①반도체(칩·메모리)
MU,①반도체(칩·메모리)
SNDK,①반도체(칩·메모리)
MRVL,①반도체(칩·메모리)
DRAM,①반도체(칩·메모리)
TSM,①반도체(칩·메모리)
469150,①반도체(칩·메모리)
298770,①반도체(칩·메모리)
0167A0,①반도체(칩·메모리)
GEV,②AI전력·인프라
OKLO,②AI전력·인프라
LITE,②AI전력·인프라
BE,②AI전력·인프라
IREN,②AI전력·인프라
017670,②AI전력·인프라
494670,②AI전력·인프라
MS,③하이퍼스케일러·클라우드
GOOGL,③하이퍼스케일러·클라우드
CRWV,③하이퍼스케일러·클라우드
PLTR,④플랫폼·SW AI & 사이버보안
INFQ,⑥양자컴퓨터
CSCO,④플랫폼·SW AI & 사이버보안
CRWD,④플랫폼·SW AI & 사이버보안
PANW,④플랫폼·SW AI & 사이버보안
CIBR,④플랫폼·SW AI & 사이버보안
005380,⑤피지컬AI(로봇·자율주행)
012330,⑤피지컬AI(로봇·자율주행)
307950,⑤피지컬AI(로봇·자율주행)
TSLA,⑤피지컬AI(로봇·자율주행)
COST,⑦가치·방어주
RIO,⑦가치·방어주
LLY,⑧바이오·헬스케어
RXRX,⑧바이오·헬스케어
HOOD,⑨핀테크·디지털자산·코인
CRCL,⑨핀테크·디지털자산·코인
MARA,⑨핀테크·디지털자산·코인
RKLB,⑩우주·방산
0131V0,⑩우주·방산
VT,⑪지수·광범위ETF
QQQM,⑪지수·광범위ETF
102110,⑪지수·광범위ETF
360200,⑪지수·광범위ETF
379800,⑪지수·광범위ETF
379810,⑪지수·광범위ETF
438080,⑪지수·광범위ETF
0162Z0,⑪지수·광범위ETF
411060,⑪지수·광범위ETF
AMD,①반도체(칩·메모리)
466920,⑦가치·방어주
QQQ,⑪지수·광범위ETF
